ID;NOM;TYPE;FREQUENCE;COMPENSATION;POINTS;PAS_REEL;ICC_MIN;N_FUITE_LONG_ARR;CALCUL_CONFORME;I_FUITE_MAX;DIAPHONIE_MAX
2116;z1203B;TVM430;2300;P_VARIABLE;5;73.25;800;320;1;160;320
2117;z1203C;TVM430;1700;P_VARIABLE;4;54.66;800;320;1;160;320
2118;z1224B;TVM430;2600;P_VARIABLE;3;64;800;320;1;160;320
2119;z1265C;TVM430;2300;P_VARIABLE;10;83.11;800;320;1;160;320
2120;z1292A;TVM430;2600;P_VARIABLE;3;86.5;800;320;1;160;320
2121;z1296;TVM430;2000;P_VARIABLE;25;60;800;320;1;160;320
2122;z1302A;TVM430;2000;P_VARIABLE;5;61;800;320;1;160;320
2123;z1302B;TVM430;2600;P_VARIABLE;16;79;800;320;1;160;320
2124;z1303D;TVM430;1700;P_VARIABLE;4;59;800;320;1;160;320
2125;z1403D;TVM430;1700;P_VARIABLE;4;61;800;320;1;160;320
2126;z1403F;TVM430;1700;P_VARIABLE;9;56.5;800;320;1;160;320
2127;z1414A;TVM430;2600;P_VARIABLE;5;88.75;800;320;1;160;320
2128;z1432C;TVM430;2600;P_VARIABLE;5;88;800;320;1;160;320
2129;z1432D;TVM430;2000;P_VARIABLE;4;61;800;320;1;160;320
2130;z1540A;TVM430;2000;P_VARIABLE;0;0;800;320;1;160;320
2131;z1703D;TVM430;2300;P_VARIABLE;4;74.33;800;320;1;160;320
2132;z1903D;TVM430;1700;P_VARIABLE;6;56.6;800;320;1;160;320
2133;z1932A;TVM430;2600;P_VARIABLE;5;88.5;800;320;1;160;320
2134;z2003B;TVM430;2300;P_VARIABLE;3;91;800;320;1;160;320
2135;z2103A;TVM430;1700;P_VARIABLE;5;67.25;800;320;1;160;320
2136;z2103D;TVM430;2300;P_VARIABLE;4;67.33;800;320;1;160;320
2137;z2103F;TVM430;2300;P_VARIABLE;6;86.6;800;320;1;160;320
2138;z2114B;TVM430;2600;P_VARIABLE;3;86;800;320;1;160;320
2139;z2132E;TVM430;2600;P_VARIABLE;4;65.33;800;320;1;160;320
2140;z2203B;TVM430;2300;P_VARIABLE;0;105;800;320;1;160;320
2141;z2233A;TVM430;2300;P_VARIABLE;5;77;800;320;1;160;320
2142;z2303D;TVM430;2300;P_VARIABLE;3;82;800;320;1;160;320
2143;z2303F;TVM430;2300;P_VARIABLE;6;86.4;800;320;1;160;320
2144;z2314A;TVM430;2600;P_VARIABLE;5;88.25;800;320;1;160;320
2145;z2314B;TVM430;2000;P_VARIABLE;4;65.33;800;320;1;160;320
2146;z2332C;TVM430;2600;P_VARIABLE;5;88.25;800;320;1;160;320
2147;z2332D;TVM430;2000;P_VARIABLE;4;61.33;800;320;1;160;320
2148;z2402A;TVM430;2000;P_VARIABLE;7;57.33;800;320;1;160;320
2149;z2403B;TVM430;1700;P_VARIABLE;7;56.33;800;320;1;160;320
2150;z2403C;TVM430;2300;P_VARIABLE;4;84.66;800;320;1;160;320
2151;z2432B;TVM430;2000;P_VARIABLE;7;55.5;800;320;1;160;320
2152;z2432C;TVM430;2600;P_VARIABLE;6;83.8;800;320;1;160;320
2153;z2503C;TVM430;2300;P_VARIABLE;3;64;800;320;1;160;320
2154;z2602A;TVM430;2000;P_VARIABLE;7;59.33;800;320;1;160;320
2155;z5163G;TVM430;1700;P_VARIABLE;1;42;800;320;1;160;320
2156;z5184C;TVM430;2000;P_VARIABLE;5;57;800;320;1;160;320
2157;z5184F;TVM430;2600;P_VARIABLE;2;62;800;320;1;160;320
2158;z5184H;TVM430;2000;P_VARIABLE;2;49;800;320;1;160;320
2159;z1427;TVM430;2300;P_VARIABLE;2;84;800;320;1;160;320
2160;z2127;TVM430;1700;P_VARIABLE;3;63.5;800;320;1;160;320
2161;z2327;TVM430;1700;P_VARIABLE;3;18.5;800;320;1;160;320
2162;z2727;TVM430;2300;P_VARIABLE;2;84;800;320;1;160;320
2163;z1222;TVM430;1700;P_VARIABLE;4;59.33333;800;320;1;160;320
2164;z1267B;TVM430;2300;P_VARIABLE;2;101;800;320;1;160;320
2165;z1292D;TVM430;2600;P_VARIABLE;2;84;800;320;1;160;320
2166;z7325A;TVM430;1700;P_VARIABLE;2;65;800;320;1;160;320
2167;z2632A;TVM430;2000;P_VARIABLE;5;53.75;800;320;1;160;320
2168;z2632C;TVM430;2000;P_VARIABLE;6;55;800;320;1;160;320
2169;z2632D;TVM430;2600;P_VARIABLE;6;85.2;800;320;1;160;320
2170;z2633A;TVM430;1700;P_VARIABLE;0;0;800;320;1;160;320
2171;z2703F;TVM430;1700;P_VARIABLE;9;56.5;800;320;1;160;320
2172;z2714A;TVM430;2600;P_VARIABLE;5;88.25;800;320;1;160;320
2173;z2714B;TVM430;2000;P_VARIABLE;4;65.33;800;320;1;160;320
2174;z2732C;TVM430;2600;P_VARIABLE;5;88.25;800;320;1;160;320
2175;z2803A;TVM430;2300;P_VARIABLE;8;80;800;320;1;160;320
2176;z2803B;TVM430;1700;P_VARIABLE;3;74;800;320;1;160;320
2177;z2833A;TVM430;1700;P_VARIABLE;14;61.3;800;320;1;160;320
2178;z2903B;TVM430;1700;P_VARIABLE;7;55;800;320;1;160;320
2179;z2924A;TVM430;2000;P_VARIABLE;5;57.5;800;320;1;160;320
2180;z2924B;TVM430;2600;P_VARIABLE;5;73;800;320;1;160;320
2181;z1227A;TVM430;1700;P_VARIABLE;7;64.16;800;320;1;160;320
2182;z1233B;TVM430;1700;P_VARIABLE;3;46.5;800;320;1;160;320
2183;z1233F;TVM430;2300;P_VARIABLE;5;77.75;800;320;1;160;320
2184;z1233G;TVM430;1700;P_VARIABLE;6;65;800;320;1;160;320
2185;z1233J;TVM430;2300;P_VARIABLE;4;76.33;800;320;1;160;320
2186;z7213B;TVM430;1700;P_VARIABLE;6;61.2;800;320;1;160;320
2187;z7303B;TVM430;1700;P_VARIABLE;5;57;800;320;1;160;320
2188;z7303C;TVM430;2300;P_VARIABLE;5;77;800;320;1;160;320
2189;z7303D;TVM430;1700;P_VARIABLE;3;70.5;800;320;1;160;320
2190;z7303E;TVM430;2300;P_VARIABLE;8;81.57;800;320;1;160;320
