ID;JOINT;CIRCUIT;PRINCIPAL;DB;EMETTEUR;DEMI_PAS
6993;3596;5159;True;False;True;30
6994;3596;5160;True;False;True;40
6995;3597;5160;True;False;True;40
6996;3597;5161;True;False;True;30
6997;3598;5161;False;False;True;60
6998;3599;5161;True;False;True;30
6999;3599;5162;True;False;True;40
7000;3600;5162;False;False;True;80
7001;3601;5162;True;False;True;40
7002;3601;5163;True;False;True;30
7003;3602;5163;True;True;True;30
7004;3602;5164;True;True;True;40.5
7005;3603;5164;True;True;True;40.5
7006;3603;5165;True;True;True;30
7007;3604;5165;True;True;True;30
7008;3604;5166;True;True;True;40
7009;3605;5166;True;True;True;40
7010;3605;5167;True;True;True;30.5
7011;3606;5167;True;True;True;30.5
7012;3606;5168;True;True;True;40
7013;3607;5168;True;True;True;40
7014;3607;5169;True;True;True;30
7015;3608;5169;True;True;True;30
7016;3608;5170;True;True;True;40
7017;3609;5170;True;True;True;40
7018;3609;5171;True;True;True;30.5
7019;3610;5171;True;True;True;30.5
7020;3610;5172;True;True;True;40.5
7021;3611;5172;True;True;True;40.5
7022;3611;5173;True;True;True;33
7023;3612;5173;True;True;True;33
7024;3612;5174;True;True;True;40.5
7025;3613;5174;True;True;True;40.5
7026;3613;5175;True;True;True;30.5
7027;3614;5175;True;True;True;30.5
7028;3614;5176;True;True;True;40.5
7029;3615;5176;True;True;True;40.5
7030;3615;5177;True;True;True;30
7031;3616;5177;True;True;True;30
7032;3616;5178;True;True;True;40
7033;3617;5178;True;True;True;40
7034;3617;5179;True;True;True;30
7035;3618;5179;True;False;True;30
7036;3618;5180;True;False;True;40
7037;3619;5180;True;False;True;40
7038;3619;5181;True;False;True;30
7039;3620;5181;False;False;True;60
7040;3621;5181;False;False;True;60
7041;3622;5181;True;False;True;30
7042;3622;5182;True;False;True;40
7043;3623;5182;True;False;True;40
7044;3623;5183;True;False;True;30
7045;3624;5183;True;True;True;30
7046;3625;5184;True;True;True;30.5
7047;3626;5184;True;True;True;30.5
7048;3626;5185;True;True;True;40
7049;3627;5185;True;True;True;40
7050;3627;5186;True;True;True;30.5
7051;3628;5186;True;True;True;30.5
7052;3628;5187;True;True;True;40
7053;3629;5187;True;True;True;40
7054;3629;5188;True;True;True;30.5
7055;3630;5188;True;True;True;30.5
7056;3630;5189;True;True;True;37.5
7057;3631;5189;True;True;True;37.5
7058;3631;5190;True;True;True;30
7059;3632;5190;True;True;True;30
7060;3427;5191;True;True;True;30
7061;3633;5191;True;True;True;30
7062;3633;5192;True;True;True;40
7063;3634;5192;True;True;True;40
7064;3634;5193;True;True;True;30
7065;3635;5193;True;False;True;30
7066;3635;5194;True;False;True;43.5
7067;3636;5194;False;False;True;87
7068;3637;5194;True;False;True;43.5
7069;3637;5195;True;False;True;0
7070;3638;5195;True;False;True;0
7071;3638;5196;True;False;True;35.5
7072;3639;5196;True;False;True;35.5
7073;3639;5197;True;False;True;30
7074;3640;5197;True;False;True;30
7075;3640;5198;True;False;True;40
7076;3641;5198;False;False;True;80
7077;3642;5198;True;False;True;40
7078;3642;5199;True;False;True;30
7079;3643;5199;True;True;True;30
7080;3643;5200;True;True;True;40
7081;3428;5200;True;True;True;40
7082;3644;5201;True;False;True;30
7083;3645;5201;True;False;True;30
7084;3645;5202;True;False;True;38
7085;3636;5202;True;False;True;38
7086;3646;5203;True;True;True;40
7087;3647;5203;True;True;True;40
7088;3647;5204;True;True;True;30
7089;3648;5204;True;False;True;30
7090;3648;5205;True;False;True;40
7091;3649;5205;True;False;True;40
7092;3649;5206;True;False;True;29.5
